,accession,gene
1135,>XM_704922.2,CAALFM_C603990CA
1137,>XM_704925.2,CAALFM_C104010CA
1139,>XM_704926.2,CAALFM_CR06930WA
1141,>XM_704929.2,CAALFM_C400500WA
1143,>XM_704931.2,CAALFM_CR03940WA
1145,>XM_704932.2,CAALFM_C110570CA
1147,>XM_704936.2,CAALFM_C114560CA
1149,>XM_704942.2,CAALFM_CR06570CA
1151,>XM_704943.2,CAALFM_CR06560CA
1153,>XM_704949.1,CAALFM_C111150WA
1155,>XM_704961.2,CAALFM_CR07160CA
1157,>XM_704964.2,SCT1
1159,>XM_704968.2,VAS1
1161,>XM_704977.2,CAALFM_C603520CA
1163,>XM_704978.2,CAALFM_C603530CA
1165,>XM_704980.2,FOX2
1167,>XM_704988.2,HGT14
1169,>XM_704992.2,UCF1
1171,>XM_704993.1,EAF3
1173,>XM_704994.2,CAALFM_C403920WA
1175,>XM_704995.2,FGR28
1177,>XM_704999.2,XKS1
1179,>XM_705000.2,ABZ1
1181,>XM_705011.2,CAALFM_C106200WA
1183,>XM_705013.2,SNF5
1185,>XM_705015.2,CAALFM_C403990CA
1187,>XM_705020.2,CDC45
1189,>XM_705022.2,CAALFM_C702610CA
1191,>XM_705023.2,CAALFM_C702600CA
1193,>XM_705028.2,USO1
1195,>XM_705029.1,RAD59
1197,>XM_705030.1,CAALFM_C405260WA
1199,>XM_705031.2,CAALFM_C204320WA
1201,>XM_705032.1,ERG10
1203,>XM_705033.1,CAALFM_C204300CA
1205,>XM_705034.2,RIM11
1207,>XM_705041.2,CAALFM_C500550CA
1209,>XM_705042.2,CAALFM_C500560WA
1211,>XM_705054.2,CAALFM_C208390WA
1213,>XM_705055.2,CAALFM_C208380CA
1215,>XM_705056.2,TEF1
1217,>XM_705065.2,CSP1
1219,>XM_705068.1,CAALFM_CR05440WA
1221,>XM_705069.1,CAALFM_CR05450CA
1223,>XM_705070.1,CAALFM_CR05460WA
1225,>XM_705071.1,CAALFM_CR05480WA
1227,>XM_705072.2,SUA72
1229,>XM_705080.2,CAALFM_CR07110CA
1231,>XM_705081.1,CAALFM_CR07120CA
1233,>XM_705082.1,ALK8
1235,>XM_705083.2,CAALFM_CR07140CA
1237,>XM_705084.2,GLK1
1239,>XM_705090.2,CAALFM_C103720CA
1241,>XM_705092.2,MSB1
1243,>XM_705098.2,CDC43
1245,>XM_705099.2,CAALFM_CR04920WA
1247,>XM_705100.2,PEX14
1249,>XM_705101.2,CAALFM_CR04940WA
1251,>XM_705103.2,MED5
1253,>XM_705111.2,CAS1
1255,>XM_705112.2,CAALFM_CR09050CA
1257,>XM_705115.2,CAALFM_CR07670WA
1259,>XM_705116.2,CAALFM_CR07680CA
1261,>XM_705117.2,CAALFM_CR07690WA
1263,>XM_705118.2,CAALFM_CR07700WA
1265,>XM_705119.2,ARO2
1267,>XM_705123.1,MIH1
1269,>XM_705128.2,CAALFM_C112470WA
1271,>XM_705129.2,CAALFM_C604180WA
1273,>XM_705131.2,SEC5
1275,>XM_705132.2,SPB1
1277,>XM_705141.2,CAALFM_C208340CA
1279,>XM_705142.1,CAALFM_C208330WA
1281,>XM_705143.2,CAALFM_C208320CA
1283,>XM_705144.2,TIM22
1285,>XM_705162.2,CAALFM_CR04720CA
1287,>XM_705163.2,CAALFM_CR04710WA
1289,>XM_705164.1,CAALFM_CR04680CA
1291,>XM_705169.2,DIT1
1293,>XM_705170.2,CAALFM_CR06380CA
1295,>XM_705180.1,KCS1
1297,>XM_705183.2,MNT3
1299,>XM_705184.1,MNN21
1301,>XM_705185.1,CAALFM_CR05310WA
1303,>XM_705187.2,CAALFM_C106320WA
1305,>XM_705190.2,CAALFM_C204870CA
1307,>XM_705192.2,PZF1
1309,>XM_705194.2,CAALFM_C204830WA
1311,>XM_705202.2,DBF2
1313,>XM_705203.1,FRP3
1315,>XM_705204.2,PEX22
1317,>XM_705214.1,CAALFM_C403340CA
1319,>XM_705215.1,IPK1
1321,>XM_705216.1,CAALFM_C403320WA
1323,>XM_705218.2,CAALFM_C406130WA
1325,>XM_705219.2,GDH3
1327,>XM_705220.2,TRP5
